level3CategoryId,level2CategoryId,level1CategoryId,categoryName
21088,21074,17166,Máy chiếu
21086,21074,17166,Màn hình máy tính
21094,21074,17166,Máy in - Máy Scan
21092,21074,17166,Máy in - Máy Scan
21076,21074,17166,Laptop
6548,53620,4384,"Hạt, củ, quả khô"
5585,1946,1882,Máy hút ẩm
21272,21268,17166,Đèn & thiết bị chiếu sáng
49646,8338,1686,Miếng lót giày nam
8338,8338,1686,Phụ kiện giày nam
10416,10416,2549,Dinh dưỡng cho mẹ
1938,5250,2549,"Búp bê, Thú bông"
8435,8435,8594,Xe Scooter
20222,8214,1815,Dây Đeo và Phụ Kiện Trang Trí
20220,8214,1815,Giá Đỡ - Chân Đế - Móc Dán
54498,54474,44792,Bảo vệ sức khỏe
2662,1818,1801,"Pin - Sạc Máy Ảnh, Máy Quay"
4423,22998,4384,Cà phê
5343,27550,27498,"Tất, vớ nam"
2144,28806,1801,Máy Ảnh Lấy Liền
13374,11332,11312,Khóa học kinh doanh - marketing
54364,54362,44792,"Dầu ăn, dầu oliu"
24378,11319,11312,Sim 3G/4G - Bộ phát Wifi
5384,977,8371,Đồng hồ dây da
28776,1818,1801,Thiết Bị Phòng Tối
